key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
GESP-7|reading_program|easy|ALG,31,"complexity_bound_reasoning:10, prefix_sum_query:10, loop_iteration_count:5, final_scalar_value:2, generic_concept:2, sorting_trace:2","inferred-complexity_bound_reasoning:10, inferred-prefix_sum_query:10, inferred-loop_iteration_count:5, inferred-final_scalar_value:2, inferred-generic_concept:2, inferred-sorting_trace:2",program_trace:31,vector:25
CSP-S|single_choice|hard|BAS,30,"generic_concept:23, final_scalar_value:2, sorting_trace:2, bfs_adjacency_queue:1, complexity_bound_reasoning:1, stack_state_trace:1","inferred-generic_concept:23, inferred-final_scalar_value:2, inferred-sorting_trace:2, inferred-bfs_adjacency_queue:1, inferred-complexity_bound_reasoning:1, inferred-stack_state_trace:1","final_value:12, short_trace:11, concept_choice:4, complexity:3","tree:2, graph:1, set:1, stack:1"
CSP-S|single_choice|hard|CS,30,"generic_concept:19, sorting_trace:4, bfs_adjacency_queue:2, stack_state_trace:2, binary_search_boundary:1, complexity_bound_reasoning:1, final_scalar_value:1","inferred-generic_concept:19, inferred-sorting_trace:4, inferred-bfs_adjacency_queue:2, inferred-stack_state_trace:2, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-final_scalar_value:1","short_trace:15, final_value:8, complexity:4, concept_choice:3","priority_queue:5, graph:4, stack:3, tree:3, vector:3, queue:2"
GESP-3|single_choice|easy|ALG,29,"binary_search_boundary:16, sorting_trace:5, generic_concept:4, complexity_bound_reasoning:2, stack_state_trace:2","inferred-binary_search_boundary:16, inferred-sorting_trace:5, inferred-generic_concept:4, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:2","loop_count:14, short_trace:8, complexity:5, final_value:2","vector:17, stack:2, queue:1, tree:1"
GESP-4|single_choice|easy|ALG,25,"binary_search_boundary:15, complexity_bound_reasoning:5, generic_concept:3, sorting_trace:1, stack_state_trace:1","inferred-binary_search_boundary:15, inferred-complexity_bound_reasoning:5, inferred-generic_concept:3, inferred-sorting_trace:1, inferred-stack_state_trace:1","loop_count:15, complexity:5, final_value:2, short_trace:2, concept_choice:1","vector:16, stack:1"
GESP-4|single_choice|easy|CPP,25,"generic_concept:15, final_scalar_value:10","inferred-generic_concept:15, inferred-final_scalar_value:10","final_value:17, short_trace:7, concept_choice:1",
GESP-6|single_choice|easy|DS,25,"stack_state_trace:9, generic_concept:7, binary_search_boundary:2, complexity_bound_reasoning:2, queue_state_trace:2, bfs_adjacency_queue:1, priority_queue_order:1, sorting_trace:1","inferred-stack_state_trace:9, inferred-generic_concept:7, inferred-binary_search_boundary:2, inferred-complexity_bound_reasoning:2, inferred-queue_state_trace:2, inferred-bfs_adjacency_queue:1, inferred-priority_queue_order:1, inferred-sorting_trace:1","short_trace:14, loop_count:5, complexity:4, final_value:2","stack:10, tree:5, vector:4, queue:3, graph:2, priority_queue:2"
GESP-3|single_choice|medium|BAS,22,"generic_concept:21, queue_state_trace:1","inferred-generic_concept:21, inferred-queue_state_trace:1","short_trace:18, final_value:3, concept_choice:1",queue:1
GESP-1|single_choice|hard|CS,21,"generic_concept:18, binary_search_boundary:1, queue_state_trace:1, stack_state_trace:1","inferred-generic_concept:18, inferred-binary_search_boundary:1, inferred-queue_state_trace:1, inferred-stack_state_trace:1","short_trace:11, final_value:10","queue:1, stack:1, vector:1"
GESP-2|single_choice|hard|CS,21,"generic_concept:14, sorting_trace:4, stack_state_trace:2, complexity_bound_reasoning:1","inferred-generic_concept:14, inferred-sorting_trace:4, inferred-stack_state_trace:2, inferred-complexity_bound_reasoning:1","short_trace:9, final_value:5, complexity:4, concept_choice:3","tree:5, graph:2, stack:2, priority_queue:1"
GESP-8|reading_program|easy|DS,21,"stack_state_trace:17, queue_state_trace:4","inferred-stack_state_trace:17, inferred-queue_state_trace:4",program_trace:21,"stack:17, queue:8, vector:4"
CSP-J|reading_program|easy|ALG,20,"generic_concept:8, final_scalar_value:7, loop_iteration_count:2, sorting_trace:2, complexity_bound_reasoning:1","inferred-generic_concept:8, inferred-final_scalar_value:7, inferred-loop_iteration_count:2, inferred-sorting_trace:2, inferred-complexity_bound_reasoning:1",program_trace:20,"vector:5, graph:3"
CSP-J|reading_program|easy|CPP,20,"generic_concept:11, final_scalar_value:6, loop_iteration_count:2, complexity_bound_reasoning:1","inferred-generic_concept:11, inferred-final_scalar_value:6, inferred-loop_iteration_count:2, inferred-complexity_bound_reasoning:1",program_trace:20,vector:6
CSP-J|single_choice|hard|MATH,20,"generic_concept:14, sorting_trace:2, stack_state_trace:2, complexity_bound_reasoning:1, set_order_unique:1","inferred-generic_concept:14, inferred-sorting_trace:2, inferred-stack_state_trace:2, inferred-complexity_bound_reasoning:1, inferred-set_order_unique:1","short_trace:13, final_value:4, complexity:2, concept_choice:1","tree:4, graph:2, stack:2, set:1, vector:1"
CSP-S|reading_program|easy|ALG,20,"final_scalar_value:5, generic_concept:5, complexity_bound_reasoning:3, loop_iteration_count:3, sorting_trace:2, dp_state_transition:1, stack_state_trace:1","inferred-final_scalar_value:5, inferred-generic_concept:5, inferred-complexity_bound_reasoning:3, inferred-loop_iteration_count:3, inferred-sorting_trace:2, inferred-dp_state_transition:1, inferred-stack_state_trace:1",program_trace:20,"vector:6, graph:2, priority_queue:1, stack:1"
CSP-S|single_choice|easy|BAS,20,"generic_concept:19, stack_state_trace:1","inferred-generic_concept:19, inferred-stack_state_trace:1","short_trace:12, final_value:7, concept_choice:1","queue:1, stack:1, tree:1, vector:1"
GESP-3|single_choice|medium|CPP,20,"final_scalar_value:12, generic_concept:7, loop_iteration_count:1","inferred-final_scalar_value:12, inferred-generic_concept:7, inferred-loop_iteration_count:1","final_value:15, concept_choice:2, short_trace:2, loop_count:1",
GESP-6|single_choice|easy|ALG,20,"binary_search_boundary:7, generic_concept:6, sorting_trace:3, complexity_bound_reasoning:2, stack_state_trace:2","inferred-binary_search_boundary:7, inferred-generic_concept:6, inferred-sorting_trace:3, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:2","loop_count:6, complexity:5, final_value:4, short_trace:4, concept_choice:1","vector:9, stack:2, graph:1, priority_queue:1, tree:1"
GESP-6|single_choice|hard|DS,20,"generic_concept:7, stack_state_trace:7, sorting_trace:4, binary_search_boundary:1, queue_state_trace:1","inferred-generic_concept:7, inferred-stack_state_trace:7, inferred-sorting_trace:4, inferred-binary_search_boundary:1, inferred-queue_state_trace:1","short_trace:11, loop_count:5, concept_choice:2, final_value:2","stack:7, tree:7, vector:6, priority_queue:4, graph:3, queue:3, union_find:1"
GESP-3|single_choice|easy|BAS,19,"generic_concept:18, stack_state_trace:1","inferred-generic_concept:18, inferred-stack_state_trace:1","short_trace:14, final_value:5","queue:1, stack:1, vector:1"
GESP-4|single_choice|easy|BAS,19,"generic_concept:18, queue_state_trace:1","inferred-generic_concept:18, inferred-queue_state_trace:1","short_trace:13, final_value:4, concept_choice:2","graph:1, queue:1, tree:1"
GESP-4|single_choice|medium|ALG,19,"binary_search_boundary:10, generic_concept:5, sorting_trace:2, stack_state_trace:2","inferred-binary_search_boundary:10, inferred-generic_concept:5, inferred-sorting_trace:2, inferred-stack_state_trace:2","loop_count:8, short_trace:6, final_value:4, concept_choice:1","vector:12, stack:2"
CSP-J|reading_program|easy|DS,18,"stack_state_trace:17, priority_queue_order:1","inferred-stack_state_trace:17, inferred-priority_queue_order:1",program_trace:18,"stack:17, priority_queue:1, queue:1"
GESP-7|reading_program|easy|DS,17,"stack_state_trace:14, queue_state_trace:2, generic_concept:1","inferred-stack_state_trace:14, inferred-queue_state_trace:2, inferred-generic_concept:1",program_trace:17,"stack:14, queue:3, vector:2"
CSP-J|completion_program|easy|ALG,16,"blank_completion:15, binary_search_boundary:1","inferred-blank_completion:15, inferred-binary_search_boundary:1",blank_completion:16,vector:4
CSP-J|completion_program|easy|DS,16,"stack_state_trace:11, queue_state_trace:4, bfs_adjacency_queue:1","inferred-stack_state_trace:11, inferred-queue_state_trace:4, inferred-bfs_adjacency_queue:1",blank_completion:16,"stack:11, vector:5, queue:4, graph:1, set:1"
GESP-3|single_choice|easy|CPP,16,"generic_concept:9, final_scalar_value:6, loop_iteration_count:1","inferred-generic_concept:9, inferred-final_scalar_value:6, inferred-loop_iteration_count:1","final_value:11, short_trace:3, concept_choice:1, loop_count:1",
GESP-3|single_choice|easy|MATH,15,"generic_concept:14, final_scalar_value:1","inferred-generic_concept:14, inferred-final_scalar_value:1","final_value:9, short_trace:6",
GESP-5|single_choice|easy|CPP,15,"final_scalar_value:11, generic_concept:4","inferred-final_scalar_value:11, inferred-generic_concept:4","final_value:12, concept_choice:2, short_trace:1",
GESP-5|single_choice|medium|MATH,15,"generic_concept:12, final_scalar_value:2, queue_state_trace:1","inferred-generic_concept:12, inferred-final_scalar_value:2, inferred-queue_state_trace:1","short_trace:12, final_value:3","queue:1, vector:1"
GESP-6|single_choice|hard|CPP,15,"generic_concept:9, final_scalar_value:6","inferred-generic_concept:9, inferred-final_scalar_value:6","final_value:9, short_trace:5, concept_choice:1",
GESP-4|single_choice|easy|MATH,14,"generic_concept:13, final_scalar_value:1","inferred-generic_concept:13, inferred-final_scalar_value:1","short_trace:12, final_value:2",
GESP-4|single_choice|hard|ALG,14,"generic_concept:6, sorting_trace:3, complexity_bound_reasoning:2, stack_state_trace:2, binary_search_boundary:1","inferred-generic_concept:6, inferred-sorting_trace:3, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:2, inferred-binary_search_boundary:1","short_trace:6, complexity:3, final_value:2, loop_count:2, concept_choice:1","tree:3, vector:3, graph:2, stack:2"
GESP-7|completion_program|easy|DS,14,"stack_state_trace:10, queue_state_trace:4","inferred-stack_state_trace:10, inferred-queue_state_trace:4",blank_completion:14,"stack:10, queue:5, union_find:2, vector:1"
CSP-J|single_choice|hard|CS,11,generic_concept:11,inferred-generic_concept:11,"short_trace:5, concept_choice:3, final_value:3","graph:1, tree:1, vector:1"
GESP-6|single_choice|medium|MATH,11,"generic_concept:8, binary_search_boundary:1, complexity_bound_reasoning:1, final_scalar_value:1","inferred-generic_concept:8, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-final_scalar_value:1","short_trace:8, complexity:2, final_value:1","tree:1, vector:1"
CSP-S|completion_program|easy|ALG,10,"blank_completion:7, sorting_trace:2, stack_state_trace:1","inferred-blank_completion:7, inferred-sorting_trace:2, inferred-stack_state_trace:1",blank_completion:10,"vector:6, stack:1"
CSP-S|completion_program|easy|DS,10,"stack_state_trace:6, queue_state_trace:3, blank_completion:1","inferred-stack_state_trace:6, inferred-queue_state_trace:3, inferred-blank_completion:1",blank_completion:10,"stack:6, vector:6, queue:3"
CSP-S|reading_program|easy|DS,10,"stack_state_trace:8, queue_state_trace:2","inferred-stack_state_trace:8, inferred-queue_state_trace:2",program_trace:10,"stack:8, queue:3"
GESP-3|single_choice|hard|ALG,10,"generic_concept:5, sorting_trace:2, bfs_adjacency_queue:1, final_scalar_value:1, stack_state_trace:1","inferred-generic_concept:5, inferred-sorting_trace:2, inferred-bfs_adjacency_queue:1, inferred-final_scalar_value:1, inferred-stack_state_trace:1","short_trace:6, complexity:2, final_value:2","tree:2, vector:2, graph:1, priority_queue:1, stack:1"
GESP-4|single_choice|hard|BAS,10,"generic_concept:9, stack_state_trace:1","inferred-generic_concept:9, inferred-stack_state_trace:1","short_trace:7, final_value:2, concept_choice:1",stack:1
GESP-4|single_choice|hard|CPP,10,generic_concept:10,inferred-generic_concept:10,"final_value:6, concept_choice:3, short_trace:1",
GESP-5|reading_program|easy|ALG,10,"final_scalar_value:4, generic_concept:3, loop_iteration_count:2, sorting_trace:1","inferred-final_scalar_value:4, inferred-generic_concept:3, inferred-loop_iteration_count:2, inferred-sorting_trace:1",program_trace:10,"vector:4, graph:1"
GESP-5|single_choice|hard|CPP,10,generic_concept:10,inferred-generic_concept:10,"final_value:7, short_trace:2, concept_choice:1",vector:1
GESP-6|single_choice|easy|CPP,10,"final_scalar_value:5, generic_concept:5","inferred-final_scalar_value:5, inferred-generic_concept:5","final_value:5, short_trace:4, concept_choice:1",vector:1
GESP-6|single_choice|hard|ALG,10,"binary_search_boundary:6, sorting_trace:2, complexity_bound_reasoning:1, generic_concept:1","inferred-binary_search_boundary:6, inferred-sorting_trace:2, inferred-complexity_bound_reasoning:1, inferred-generic_concept:1","loop_count:5, complexity:3, short_trace:2",vector:7
GESP-6|single_choice|hard|MATH,10,"generic_concept:6, bfs_adjacency_queue:1, binary_search_boundary:1, final_scalar_value:1, stack_state_trace:1","inferred-generic_concept:6, inferred-bfs_adjacency_queue:1, inferred-binary_search_boundary:1, inferred-final_scalar_value:1, inferred-stack_state_trace:1","short_trace:7, final_value:2, concept_choice:1","graph:2, stack:1"
GESP-6|single_choice|medium|CPP,10,"generic_concept:6, final_scalar_value:3, complexity_bound_reasoning:1","inferred-generic_concept:6, inferred-final_scalar_value:3, inferred-complexity_bound_reasoning:1","final_value:5, short_trace:4, complexity:1",vector:1
GESP-4|reading_program|medium|ALG,9,"complexity_bound_reasoning:5, loop_iteration_count:2, binary_search_boundary:1, sorting_trace:1","inferred-complexity_bound_reasoning:5, inferred-loop_iteration_count:2, inferred-binary_search_boundary:1, inferred-sorting_trace:1",program_trace:9,vector:3
GESP-5|single_choice|medium|BAS,9,generic_concept:9,inferred-generic_concept:9,"short_trace:7, concept_choice:1, final_value:1",
GESP-7|completion_program|easy|ALG,9,"blank_completion:5, prefix_sum_query:4","inferred-blank_completion:5, inferred-prefix_sum_query:4",blank_completion:9,vector:4
GESP-8|completion_program|easy|ALG,9,"blank_completion:6, binary_search_boundary:2, sorting_trace:1","inferred-blank_completion:6, inferred-binary_search_boundary:2, inferred-sorting_trace:1",blank_completion:9,vector:7
GESP-8|completion_program|easy|MATH,9,blank_completion:9,inferred-blank_completion:9,blank_completion:9,
CSP-S|single_choice|easy|CS,8,generic_concept:8,inferred-generic_concept:8,"short_trace:6, concept_choice:2",
GESP-4|single_choice|medium|BAS,8,"generic_concept:7, stack_state_trace:1","inferred-generic_concept:7, inferred-stack_state_trace:1","short_trace:6, final_value:2","graph:1, stack:1, tree:1"
GESP-4|single_choice|medium|CPP,7,final_scalar_value:7,inferred-final_scalar_value:7,final_value:7,
GESP-3|completion_program|easy|ALG,6,"blank_completion:5, sorting_trace:1","inferred-blank_completion:5, inferred-sorting_trace:1",blank_completion:6,vector:2
GESP-3|completion_program|hard|ALG,5,"blank_completion:3, sorting_trace:2","inferred-blank_completion:3, inferred-sorting_trace:2",blank_completion:5,vector:2
GESP-3|completion_program|medium|ALG,5,"blank_completion:4, sorting_trace:1","inferred-blank_completion:4, inferred-sorting_trace:1",blank_completion:5,vector:2
GESP-3|reading_program|easy|CPP,5,"generic_concept:3, final_scalar_value:2","inferred-generic_concept:3, inferred-final_scalar_value:2",program_trace:5,
GESP-3|reading_program|hard|ALG,5,"dp_state_transition:2, binary_search_boundary:1, sorting_trace:1, stack_state_trace:1","inferred-dp_state_transition:2, inferred-binary_search_boundary:1, inferred-sorting_trace:1, inferred-stack_state_trace:1",program_trace:5,"vector:3, queue:1, stack:1"
GESP-3|reading_program|medium|ALG,5,"generic_concept:3, complexity_bound_reasoning:1, final_scalar_value:1","inferred-generic_concept:3, inferred-complexity_bound_reasoning:1, inferred-final_scalar_value:1",program_trace:5,vector:3
GESP-3|single_choice|hard|BAS,5,"generic_concept:3, queue_state_trace:1, stack_state_trace:1","inferred-generic_concept:3, inferred-queue_state_trace:1, inferred-stack_state_trace:1","final_value:3, short_trace:2","queue:1, stack:1, vector:1"
GESP-3|single_choice|hard|CPP,5,"generic_concept:4, final_scalar_value:1","inferred-generic_concept:4, inferred-final_scalar_value:1","final_value:4, short_trace:1",
GESP-3|single_choice|hard|MATH,5,generic_concept:5,inferred-generic_concept:5,short_trace:5,
GESP-3|single_choice|medium|ALG,5,binary_search_boundary:5,inferred-binary_search_boundary:5,loop_count:5,vector:5
GESP-4|completion_program|medium|ALG,5,"blank_completion:3, binary_search_boundary:1, sorting_trace:1","inferred-blank_completion:3, inferred-binary_search_boundary:1, inferred-sorting_trace:1",blank_completion:5,vector:2
GESP-4|reading_program|easy|ALG,5,"complexity_bound_reasoning:2, generic_concept:2, prefix_sum_query:1","inferred-complexity_bound_reasoning:2, inferred-generic_concept:2, inferred-prefix_sum_query:1",program_trace:5,vector:3
GESP-4|reading_program|easy|CPP,5,"final_scalar_value:2, generic_concept:2, loop_iteration_count:1","inferred-final_scalar_value:2, inferred-generic_concept:2, inferred-loop_iteration_count:1",program_trace:5,vector:1
GESP-4|single_choice|medium|MATH,5,generic_concept:5,inferred-generic_concept:5,short_trace:5,
GESP-5|completion_program|hard|ALG,5,"blank_completion:2, sorting_trace:2, dp_state_transition:1","inferred-blank_completion:2, inferred-sorting_trace:2, inferred-dp_state_transition:1",blank_completion:5,vector:4
GESP-5|completion_program|hard|MATH,5,"blank_completion:3, complexity_bound_reasoning:1, map_count_lookup:1","inferred-blank_completion:3, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1",blank_completion:5,"map:1, union_find:1, vector:1"
GESP-5|reading_program|easy|DS,5,"generic_concept:2, map_count_lookup:1, queue_state_trace:1, stack_state_trace:1","inferred-generic_concept:2, inferred-map_count_lookup:1, inferred-queue_state_trace:1, inferred-stack_state_trace:1",program_trace:5,"map:1, queue:1, stack:1, vector:1"
GESP-5|reading_program|hard|DS,5,"stack_state_trace:4, loop_iteration_count:1","inferred-stack_state_trace:4, inferred-loop_iteration_count:1",program_trace:5,"stack:4, vector:2"
GESP-5|single_choice|easy|DS,5,"queue_state_trace:2, stack_state_trace:2, generic_concept:1","inferred-queue_state_trace:2, inferred-stack_state_trace:2, inferred-generic_concept:1","short_trace:3, final_value:1, loop_count:1","queue:2, stack:2, tree:1, vector:1"
GESP-5|single_choice|easy|MATH,5,generic_concept:5,inferred-generic_concept:5,"short_trace:4, concept_choice:1",
GESP-5|single_choice|hard|ALG,5,binary_search_boundary:5,inferred-binary_search_boundary:5,loop_count:5,vector:5
GESP-5|single_choice|hard|BAS,5,"generic_concept:4, final_scalar_value:1","inferred-generic_concept:4, inferred-final_scalar_value:1","concept_choice:2, final_value:2, short_trace:1",
GESP-5|single_choice|hard|MATH,5,generic_concept:5,inferred-generic_concept:5,short_trace:5,
GESP-5|single_choice|medium|DS,5,stack_state_trace:5,inferred-stack_state_trace:5,loop_count:5,stack:5
GESP-6|completion_program|hard|ALG,5,"blank_completion:4, set_order_unique:1","inferred-blank_completion:4, inferred-set_order_unique:1",blank_completion:5,"vector:2, set:1, tree:1"
GESP-6|completion_program|medium|DS,5,"blank_completion:2, queue_state_trace:1, sorting_trace:1, stack_state_trace:1","inferred-blank_completion:2, inferred-queue_state_trace:1, inferred-sorting_trace:1, inferred-stack_state_trace:1",blank_completion:5,"tree:2, graph:1, queue:1, stack:1, vector:1"
GESP-6|reading_program|easy|ALG,5,"loop_iteration_count:2, final_scalar_value:1, generic_concept:1, sorting_trace:1","inferred-loop_iteration_count:2, inferred-final_scalar_value:1, inferred-generic_concept:1, inferred-sorting_trace:1",program_trace:5,vector:3
GESP-6|reading_program|hard|ALG,5,"complexity_bound_reasoning:2, dp_state_transition:1, sorting_trace:1, stack_state_trace:1","inferred-complexity_bound_reasoning:2, inferred-dp_state_transition:1, inferred-sorting_trace:1, inferred-stack_state_trace:1",program_trace:5,"vector:4, graph:1, stack:1"
GESP-6|reading_program|medium|ALG,5,"complexity_bound_reasoning:4, sorting_trace:1","inferred-complexity_bound_reasoning:4, inferred-sorting_trace:1",program_trace:5,vector:2
GESP-6|reading_program|medium|DS,5,"stack_state_trace:4, final_scalar_value:1","inferred-stack_state_trace:4, inferred-final_scalar_value:1",program_trace:5,"stack:4, vector:1"
GESP-4|completion_program|easy|ALG,4,"blank_completion:3, sorting_trace:1","inferred-blank_completion:3, inferred-sorting_trace:1",blank_completion:4,vector:2
GESP-4|reading_program|hard|ALG,4,complexity_bound_reasoning:4,inferred-complexity_bound_reasoning:4,program_trace:4,
GESP-5|single_choice|hard|DS,3,stack_state_trace:3,inferred-stack_state_trace:3,loop_count:3,stack:3
GESP-5|single_choice|medium|CPP,2,final_scalar_value:2,inferred-final_scalar_value:2,final_value:2,
GESP-5|completion_program|medium|ALG,1,blank_completion:1,inferred-blank_completion:1,blank_completion:1,
GESP-6|completion_program|easy|DS,1,stack_state_trace:1,inferred-stack_state_trace:1,blank_completion:1,stack:1
